father	mother	male
Albert	Victoria	50%
Andrew of Greece	Alice	100%
Charles	Diana	100%
Charles I	Henrietta Maria	66%
Edward VII	Alexandra (Queen)	66%
Ernest Augustus	Palatine Sophia	100%
Frederick	Augusta of Saxe-Gotha	100%
George III	Charlotte	100%
George V	Mary of Teck	100%
George VI	Elizabeth	0%
James II	Anne Hyde	0%
Philip	Elizabeth II	75%
William II of Orange	Mary (Princess Royal)	100%
