name	father	mother
Albert Victor	Edward VII	Alexandra (Queen)
Charles	Philip	Elizabeth II
Charles II	Charles I	Henrietta Maria
Edward VIII	George V	Mary of Teck
Elizabeth II	George VI	Elizabeth
Frederick (Prince)	George III	Charlotte
George I	Ernest Augustus	Palatine Sophia
George III	Frederick	Augusta of Saxe-Gotha
Mary II	James II	Anne Hyde
Philip	Andrew of Greece	Alice
Victoria (Princess Royal)	Albert	Victoria
William	Charles	Diana
William III	William II of Orange	Mary (Princess Royal)
